Index,prod_code,product_name,Column2,Column1,employee_id,employee_name,year_id,year,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,yearly_totals
21,PROD001,Gator XUV 590M,NW,1,EMP234,"Bachmann, Jane",1,2020,31,35,29,42,31,35,28,41,49,41,36,27,39,43,33,47,43,34,43,40,36,35,36,41,35,30,27,30,28,25,47,21,32,41,22,27,27,17,29,22,27,32,34,40,23,36,30,30,26,21,16,24,1694
22,PROD001,Gator XUV 590M,NW,1,EMP234,"Bachmann, Jane",0,2019,34,27,28,36,50,28,31,33,34,27,29,33,30,45,35,42,45,37,39,32,40,38,41,40,31,24,31,26,27,23,33,31,33,33,26,19,37,38,38,37,19,33,33,45,29,28,27,32,33,27,29,16,1692
27,PROD002,CUV82,NW,1,EMP234,"Bachmann, Jane",1,2020,32,34,46,30,39,51,28,25,30,32,38,23,41,29,39,38,35,31,44,28,30,38,34,42,29,20,26,30,31,37,41,30,28,30,30,23,48,25,25,26,26,28,27,33,28,45,30,44,29,27,23,22,1678
28,PROD002,CUV82,NW,1,EMP234,"Bachmann, Jane",0,2019,27,45,40,34,31,35,37,40,40,37,34,25,29,30,42,35,37,42,38,33,38,39,33,41,24,20,25,32,25,32,27,28,34,39,19,32,23,30,33,34,23,28,34,27,39,36,39,35,22,35,16,23,1676
33,PROD003,1025R Sub-Compact Tractor,NW,1,EMP234,"Bachmann, Jane",1,2020,36,33,40,46,39,39,26,44,34,34,43,46,36,28,27,44,32,32,39,32,36,39,31,25,33,22,24,22,24,28,27,18,24,27,34,27,35,38,52,32,25,25,22,24,29,35,33,32,34,32,19,18,1656
34,PROD003,1025R Sub-Compact Tractor,NW,1,EMP234,"Bachmann, Jane",0,2019,34,37,29,42,31,36,36,43,29,30,48,34,38,33,28,45,41,33,52,38,29,33,43,34,33,23,25,28,25,23,32,25,36,36,27,25,22,28,24,27,35,30,24,31,31,31,20,33,27,24,30,18,1649
37,PROD004,CT1021 Sub-Compact Tractor,NW,1,EMP234,"Bachmann, Jane",1,2020,25,37,42,50,18,32,38,37,33,30,37,20,41,40,39,38,34,32,41,30,40,36,31,33,28,22,22,30,23,31,28,30,34,29,30,32,26,30,31,24,29,27,24,28,30,28,29,34,31,29,25,19,1617
38,PROD004,CT1021 Sub-Compact Tractor,NW,1,EMP234,"Bachmann, Jane",0,2019,35,37,31,23,37,42,38,34,33,37,34,43,37,32,43,42,41,43,29,33,39,25,32,31,23,19,21,29,21,25,20,29,22,19,37,28,37,27,23,28,42,28,29,32,25,31,21,35,23,33,28,27,1613
43,PROD005,UV34 Gas ,NW,1,EMP234,"Bachmann, Jane",1,2020,18,26,12,17,23,15,18,19,33,31,21,32,21,17,29,20,20,23,20,27,20,30,29,33,43,31,9,17,16,17,14,15,13,8,13,25,16,29,17,17,19,19,24,26,21,25,25,24,29,23,34,30,1153
44,PROD005,UV34 Gas ,NW,1,EMP234,"Bachmann, Jane",0,2019,26,16,23,19,29,21,16,14,29,13,20,22,16,26,19,26,23,17,12,20,24,29,24,38,24,27,10,17,10,16,18,21,14,23,21,15,25,15,13,11,21,19,20,15,17,11,12,18,23,22,19,31,1030
47,PROD006,ZT2000 Zero Turn Mower,NW,1,EMP234,"Bachmann, Jane",1,2020,15,26,11,15,19,15,16,19,19,23,24,24,19,26,19,16,20,23,20,9,13,23,28,27,26,27,6,14,13,8,18,16,15,17,7,18,13,17,9,16,16,16,12,18,13,11,20,20,26,26,25,37,949
48,PROD006,ZT2000 Zero Turn Mower,NW,1,EMP234,"Bachmann, Jane",0,2019,16,30,25,11,23,19,27,15,30,23,19,22,16,17,19,20,30,15,24,15,18,16,15,23,20,20,15,11,9,12,21,26,20,12,16,14,11,15,24,14,19,20,19,14,18,13,17,15,11,13,18,20,945
51,PROD007,S70 Skid Steer Loader,NW,1,EMP234,"Bachmann, Jane",1,2020,16,17,12,10,23,14,23,15,14,18,17,18,11,16,15,18,23,22,23,13,23,22,24,35,23,24,13,18,13,11,17,18,9,10,14,11,14,13,15,18,16,12,19,12,10,18,11,18,21,19,24,22,885
52,PROD007,S70 Skid Steer Loader,NW,1,EMP234,"Bachmann, Jane",0,2019,14,20,15,11,10,20,18,12,18,11,17,18,13,24,11,18,21,12,14,22,15,22,20,21,34,26,13,11,11,16,16,11,9,15,19,14,20,18,17,19,8,15,17,13,10,20,19,15,18,22,26,18,867
57,PROD008,Z930M Ztrack,NW,1,EMP234,"Bachmann, Jane",1,2020,9,13,15,18,15,10,10,17,20,14,15,20,12,11,20,17,18,24,15,19,23,20,26,23,34,25,9,11,13,14,8,10,16,14,11,8,10,17,13,17,11,8,12,10,11,23,20,11,17,16,16,27,816
58,PROD008,Z930M Ztrack,NW,1,EMP234,"Bachmann, Jane",0,2019,10,10,10,11,11,11,15,14,20,16,5,16,18,17,19,20,17,15,12,24,23,22,16,17,20,25,9,16,15,10,9,14,13,14,12,6,11,21,14,10,15,14,10,17,21,14,25,20,12,21,25,23,805
1,PROD001,Gator XUV 590M,NW,1,EMP244,"Evans, Gina",1,2020,42,48,38,43,35,39,36,38,49,46,44,25,43,38,34,48,52,67,52,45,64,49,48,72,64,64,30,25,43,23,29,30,31,28,34,34,36,47,24,35,47,34,46,41,34,39,44,46,46,41,57,73,2220
2,PROD001,Gator XUV 590M,NW,1,EMP244,"Evans, Gina",0,2019,35,34,40,36,45,37,43,47,34,39,33,41,47,40,47,53,44,39,42,41,44,51,47,44,38,32,29,41,27,21,36,27,30,19,46,31,33,29,36,34,25,27,52,36,43,31,37,38,42,28,28,26,1925
3,PROD002,CUV82,NW,1,EMP244,"Evans, Gina",1,2020,36,42,27,33,40,48,38,39,41,39,44,35,53,52,43,45,41,42,43,26,35,29,48,24,33,34,23,24,26,28,32,34,38,40,32,31,50,36,43,42,32,32,38,36,39,32,31,39,23,40,32,14,1877
4,PROD002,CUV82,NW,1,EMP244,"Evans, Gina",0,2019,41,27,27,51,37,38,48,40,39,40,47,31,48,43,37,45,47,39,50,38,38,44,33,27,39,23,22,29,24,36,33,33,32,38,32,30,32,34,41,47,28,26,23,38,36,40,44,39,37,24,27,22,1864
15,PROD003,1025R Sub-Compact Tractor,NW,1,EMP244,"Evans, Gina",1,2020,38,26,37,43,51,39,42,27,36,45,27,39,37,41,28,45,39,34,40,45,39,35,35,45,32,17,23,28,38,26,36,35,24,24,32,34,30,30,17,27,36,35,33,29,37,20,38,38,32,14,26,20,1724
16,PROD003,1025R Sub-Compact Tractor,NW,1,EMP244,"Evans, Gina",0,2019,27,46,31,38,40,40,53,43,45,32,37,32,38,39,28,43,50,39,44,33,35,33,38,26,28,24,21,26,24,33,28,24,24,29,23,30,38,29,23,30,41,30,33,46,30,29,31,32,21,34,31,14,1716
19,PROD004,CT1021 Sub-Compact Tractor,NW,1,EMP244,"Evans, Gina",1,2020,31,28,41,36,45,25,42,47,36,42,42,37,45,38,40,31,34,28,27,35,40,41,32,31,35,28,19,25,28,21,32,36,29,32,31,20,25,21,38,29,32,32,27,36,31,29,36,26,43,32,35,19,1701
20,PROD004,CT1021 Sub-Compact Tractor,NW,1,EMP244,"Evans, Gina",0,2019,43,34,39,32,45,35,43,44,36,39,37,27,38,34,32,30,47,33,30,26,31,35,22,26,44,18,41,30,22,28,31,21,27,33,39,27,29,22,36,30,29,38,27,29,42,38,30,28,28,30,34,28,1697
25,PROD005,UV34 Gas ,NW,1,EMP244,"Evans, Gina",1,2020,27,34,43,45,28,35,26,34,38,45,26,49,51,41,34,38,41,38,40,34,47,32,32,38,32,18,20,32,26,35,29,25,27,35,20,28,35,24,26,34,40,31,28,31,17,38,34,28,21,28,30,15,1683
26,PROD005,UV34 Gas ,NW,1,EMP244,"Evans, Gina",0,2019,40,38,39,38,39,33,28,44,36,36,23,38,38,41,43,27,38,31,43,32,35,38,48,38,30,21,20,22,24,23,31,23,33,31,39,30,30,34,31,21,21,39,30,29,29,41,35,22,28,29,29,23,1682
