index_value,esp_code,prod_code,product_name,region,region_id,employee_id,employee_name,year,year_id,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,yearly_totals
9,ESP001,PROD001,Gator XUV 590M,SW,2,EMP290,"Allen, Maude",2019,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,30
10,ESP001,PROD001,Gator XUV 590M,SW,2,EMP290,"Allen, Maude",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
19,ESP002,PROD002,CUV82,SW,2,EMP290,"Allen, Maude",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,16
20,ESP002,PROD002,CUV82,SW,2,EMP290,"Allen, Maude",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,ESP003,PROD003,1025R Sub-Compact Tractor,SW,2,EMP290,"Allen, Maude",2019,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,23
30,ESP003,PROD003,1025R Sub-Compact Tractor,SW,2,EMP290,"Allen, Maude",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
39,ESP004,PROD004,CT1021 Sub-Compact Tractor,SW,2,EMP290,"Allen, Maude",2019,0,2,1,2,2,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,0,0,0,1,1,2,2,2,3,3,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,4,2,1,2,63
40,ESP004,PROD004,CT1021 Sub-Compact Tractor,SW,2,EMP290,"Allen, Maude",2020,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,1,3,2,3,2,1,1,1,1,3,2,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,40
49,ESP005,PROD005,UV34 Gas ,SW,2,EMP290,"Allen, Maude",2019,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,3,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49
50,ESP005,PROD005,UV34 Gas ,SW,2,EMP290,"Allen, Maude",2020,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,2,2,1,1,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,2,1,43
59,ESP006,PROD006,ZT2000 Zero Turn Mower,SW,2,EMP290,"Allen, Maude",2019,0,2,3,3,2,3,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,3,2,1,1,2,2,3,2,3,1,3,3,3,1,2,2,2,2,1,2,2,2,1,1,2,1,3,3,1,2,2,96
60,ESP006,PROD006,ZT2000 Zero Turn Mower,SW,2,EMP290,"Allen, Maude",2020,1,1,2,0,1,1,1,1,1,1,2,1,2,3,2,2,2,1,1,1,2,1,1,3,3,4,4,2,2,2,2,1,2,2,2,3,1,1,1,1,0,1,1,1,1,2,1,1,1,1,2,1,2,81
69,ESP007,PROD007,S70 Skid Steer Loader,SW,2,EMP290,"Allen, Maude",2019,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1,53
70,ESP007,PROD007,S70 Skid Steer Loader,SW,2,EMP290,"Allen, Maude",2020,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,2,1,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,33
79,ESP008,PROD008,Z930M Ztrack,SW,2,EMP290,"Allen, Maude",2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,16
80,ESP008,PROD008,Z930M Ztrack,SW,2,EMP290,"Allen, Maude",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,ESP001,PROD001,Gator XUV 590M,NW,1,EMP234,"Bachmann, Jane",2019,0,4,4,4,6,10,5,4,4,3,2,1,1,0,1,2,3,5,4,4,3,4,5,6,7,6,5,6,4,4,5,8,9,11,9,6,4,6,5,5,4,2,3,2,3,1,1,1,0,0,0,0,0,202
2,ESP001,PROD001,Gator XUV 590M,NW,1,EMP234,"Bachmann, Jane",2020,1,0,1,1,3,3,4,3,5,7,5,3,2,2,3,3,5,5,5,6,6,6,6,7,9,8,7,6,7,7,6,11,5,7,9,4,5,4,2,4,3,3,4,4,5,3,4,3,3,2,2,2,2,232
11,ESP002,PROD002,CUV82,NW,1,EMP234,"Bachmann, Jane",2019,0,2,4,4,4,4,3,3,3,2,2,1,0,0,0,1,1,2,1,1,0,0,2,3,5,4,3,3,4,2,4,5,6,9,9,4,6,4,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,123
12,ESP002,PROD002,CUV82,NW,1,EMP234,"Bachmann, Jane",2020,1,0,0,1,1,1,2,1,1,2,1,1,0,0,1,1,2,3,2,4,2,2,4,4,7,5,4,5,5,6,7,7,5,5,4,3,2,3,2,1,1,1,1,2,2,2,3,2,2,1,1,1,1,127
21,ESP003,PROD003,1025R Sub-Compact Tractor,NW,1,EMP234,"Bachmann, Jane",2019,0,4,5,4,6,5,5,5,6,4,3,3,1,0,1,1,2,3,2,4,3,3,4,6,6,7,5,5,5,5,5,8,8,12,11,7,5,4,4,3,3,3,2,2,2,1,1,1,1,0,0,0,0,196
